Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
4.3,8.0,128.0,6.52,48,8.0,5000,15990
3.7,6.0,64.0,4.54,48,12.0,1500,749
4.0,6.0,32.0,4.77,48,12.0,3800,980
4.4,6.0,128.0,6.5,48,5.0,3800,17990
4.3,6.0,32.0,4.58,64,12.0,1750,1799
4.1,8.0,64.0,4.77,48,9.784832451499119,3800,1275
4.1,8.0,64.0,4.77,48,8.0,5000,1275
4.1,8.0,64.0,4.77,48,9.784832451499119,3000,1275
4.0,6.0,32.0,4.5,48,12.0,3000,949
4.5,4.0,64.0,5.6,35,20.0,3000,30999
4.5,6.0,128.0,6.4,64,8.0,6000,19900
3.8,6.0,32.0,4.4,48,9.784832451499119,2500,705
3.8,6.0,32.0,4.4,48,12.0,2500,705
4.1,1.0,16.0,5.0,5,2.0,2500,5049
4.5,6.0,64.0,6.39,48,13.0,3800,21999
4.5,6.0,64.0,5.5,35,12.0,3500,36999
3.8,6.0,32.0,4.54,48,12.0,2800,1149
4.2,6.0,32.0,4.54,48,20.0,1200,1499
3.9,6.0,32.0,4.5,64,12.0,2000,749
4.2,8.0,51.0,4.54,48,9.784832451499119,1750,1599
4.4,8.0,128.0,6.4,64,13.0,4025,29990
4.4,8.0,128.0,6.4,64,13.0,4025,29990
3.7,0.0,64.0,4.54,64,9.784832451499119,3500,949
4.1,6.0,32.0,3.7,64,15.0,3500,970
3.5,6.0,64.0,4.5,48,9.784832451499119,3000,649
4.5,6.0,64.0,6.26,35,5.0,3000,16675
3.8,6.0,32.0,4.77,48,15.0,3000,959
3.8,6.0,32.0,4.77,48,15.0,3000,995
4.4,6.0,64.0,6.38,48,8.0,4700,18990
3.7,6.0,32.0,4.54,64,9.784832451499119,2800,899
4.1,6.0,32.0,44.0,48,15.0,3000,935
4.1,6.0,32.0,44.0,48,15.0,3000,970
4.1,6.0,32.0,44.0,48,15.0,3000,940
4.4,4.0,64.0,6.35,38,2.0,5000,12900
4.0,6.0,32.0,4.54,64,9.784832451499119,2500,1699
3.4,6.0,64.0,4.54,20,9.784832451499119,3500,1299
4.5,8.0,256.0,6.67,48,8.0,3800,42990
4.6,6.0,128.0,6.67,48,8.0,3800,42990
4.0,3.0,32.0,5.4,38,8.0,3800,7999
4.5,8.0,128.0,6.7,64,1.0,4700,77999
3.7,6.0,32.0,2.0,64,16.0,1550,1699
3.8,6.0,32.0,4.54,48,16.0,3000,1349
4.2,4.0,3.0,4.77,48,9.784832451499119,1750,1299
4.7,8.0,64.0,5.8,35,12.0,5000,140300
4.6,8.0,128.0,6.1,48,12.0,3000,563000
4.2,12.0,24.0,4.77,48,9.784832451499119,3000,1149
4.1,10.0,25.0,6.41,48,2.0,3000,39999
4.1,3.0,32.0,5.7,38,1.0,2900,9990
4.2,4.0,64.0,4.5,64,9.784832451499119,3500,1098
4.2,4.0,64.0,4.5,64,16.0,3000,1099
3.5,6.0,64.0,4.5,48,16.0,3000,1199
4.2,6.0,32.0,4.54,48,61.0,1750,1390
3.8,12.0,24.0,2.0,64,9.784832451499119,1550,1690
3.7,6.0,32.0,4.77,48,9.784832451499119,1750,927
4.5,6.0,128.0,6.39,48,32.0,3000,21099
4.5,6.0,64.0,5.5,35,12.0,3500,36999
4.103105590062111,6.0,32.0,4.5,64,9.784832451499119,3000,649
4.103105590062111,6.0,32.0,4.5,64,9.784832451499119,3000,649
4.1,6.0,32.0,4.5,64,8.0,3000,1599
3.6,8.0,32.0,4.5,48,8.0,3000,649
4.2,6.0,24.0,4.54,48,8.0,1750,1799
4.6,12.0,64.0,6.1,35,7.0,3500,573000
4.2,6.0,32.0,4.54,48,5.0,1750,1549
3.9,12.0,12.0,4.54,48,5.0,3000,1579
3.9,6.0,32.0,4.54,48,9.784832451499119,3000,1330
4.1,8.0,128.0,6.4,35,20.0,3000,31590
3.6,6.0,32.0,4.54,38,20.0,1200,945
3.6,6.0,32.0,4.54,38,0.0,1200,945
3.8,3.0,32.0,6.2,48,8.0,3000,15899
4.1,3.0,32.0,5.4,38,5.0,3000,7490
3.9,6.0,32.0,4.77,48,9.784832451499119,1750,1451
4.3,1.0,16.0,4.5,48,8.0,3000,869
4.3,1.0,16.0,4.5,48,8.0,3000,798
4.103105590062111,6.0,32.0,4.5,64,9.784832451499119,3000,649
3.9,6.0,32.0,4.5,48,11.0,3000,900
4.103105590062111,6.0,32.0,4.5,64,9.784832451499119,3000,649
4.3,4.0,4.0,4.77,64,11.0,3500,1349
4.1,4.0,64.0,5.9,38,2.0,3000,14999
3.4,4.0,64.0,5.5,48,5.0,3000,13999
4.5,8.0,128.0,6.44,48,13.0,4100,29499
4.2,4.0,4.0,4.5,64,13.0,3500,1599
4.4,2.0,16.0,6.22,38,5.0,4030,9350
